A,B,C,logE,t
MSFT,XOM,TLT,-4.192162484297125,
XOM,TLT,TSLA,-4.312170518090573,
TSLA,AAPL,GLD,-4.516794768573247,
JPM,^VIX,USO,-4.6848804034606975,
USO,TLT,JPM,-4.904896278776534,
MSFT,USO,TLT,-5.562885812646796,
XOM,GLD,TLT,-6.0166102737825025,
TSLA,^VIX,META,-6.245785288667633,
MSFT,TLT,META,-6.736972127961241,
XOM,GLD,USO,-6.759057744185653,
NVDA,GLD,TLT,-6.7883681748578155,
