A,B,C,logE,t
NVDA,XOM,TLT,-3.2428628340487613,
MSFT,JPM,GLD,-3.2518162749517594,
AAPL,META,AMZN,-3.256825899907966,
MSFT,GLD,TLT,-3.295789609426943,
XOM,^VIX,META,-3.296670483352271,
USO,TLT,AAPL,-3.311310621698347,
AMZN,USO,JPM,-3.318223667517048,
TSLA,XOM,TLT,-3.326871009863466,
JPM,USO,TLT,-3.326967751304056,
MSFT,META,USO,-3.336379067120952,
META,XOM,MSFT,-3.3371222582607123,
NVDA,MSFT,USO,-3.3418943622848722,
AMZN,USO,AAPL,-3.3437618166268326,
JPM,USO,GLD,-3.3739744088689214,
AAPL,TLT,USO,-3.3750323319682805,
TLT,^VIX,JPM,-3.4141274659157395,
TLT,^VIX,MSFT,-3.4165346895075897,
NVDA,AAPL,USO,-3.4251746958027494,
JPM,USO,TSLA,-3.432275181211212,
MSFT,JPM,NVDA,-3.4381755499553903,
MSFT,GLD,NVDA,-3.4843481397003604,
TSLA,TLT,USO,-3.4844068096211065,
AMZN,JPM,NVDA,-3.5033662925533022,
AMZN,USO,XOM,-3.506615355565618,
AMZN,XOM,^VIX,-3.5237251656764257,
NVDA,USO,JPM,-3.523767895301469,
AAPL,AMZN,NVDA,-3.5319142005871194,
NVDA,JPM,TSLA,-3.5432748725513967,
NVDA,USO,AMZN,-3.576320739335546,
TSLA,TLT,XOM,-3.5769991224884854,
USO,^VIX,META,-3.59356133199169,
MSFT,USO,GLD,-3.596361493641884,
TSLA,USO,XOM,-3.655381252366599,
NVDA,USO,TSLA,-3.666143142779047,
META,USO,^VIX,-3.670522999035663,
JPM,GLD,TSLA,-3.733360710173941,
GLD,TLT,META,-3.744380297642548,
AAPL,AMZN,^VIX,-3.786635307360075,
AAPL,USO,JPM,-3.814084955729203,
AAPL,AMZN,MSFT,-3.8580805866122962,
AMZN,TLT,GLD,-3.868470099469373,
NVDA,JPM,USO,-3.8744021879187795,
NVDA,META,USO,-3.916133358746244,
NVDA,USO,GLD,-3.939187880781231,
AMZN,GLD,USO,-3.9436659791631667,
GLD,TLT,AMZN,-3.976926927777628,
META,JPM,NVDA,-3.9903975706596433,
GLD,TLT,TSLA,-3.993577788786393,
TSLA,USO,GLD,-4.033852587098803,
USO,TLT,TSLA,-4.099352399460147,
XOM,USO,^VIX,-4.117013157559477,
USO,TLT,JPM,-4.410058503042977,
TSLA,NVDA,JPM,-4.426391158450164,
AAPL,TLT,^VIX,-4.500111046031021,
TSLA,TLT,GLD,-4.856312433556055,
AMZN,GLD,MSFT,-5.082604525162082,
TSLA,JPM,GLD,-5.243220707088765,
XOM,GLD,^VIX,-5.251305104239188,
TSLA,JPM,NVDA,-5.3916594560282185,
TSLA,NVDA,AAPL,-5.632147064992961,
NVDA,GLD,XOM,-7.026080402218064,
TSLA,TLT,^VIX,-7.960780063082548,
MSFT,GLD,JPM,-8.485766767299243,
XOM,GLD,NVDA,-8.980191832246456,
NVDA,XOM,GLD,-9.0,
